original_row_index,generated_version,item_number,list_item,Full verb phrase,Causality,NP1,verb,NP2,because,pronoun,präposition,adjective + verb,and,NP final,verb final,Generated-Sentence,np2_replacement_status,NP1 - male,NP1 - female,NP2 - male,NP2 - female,verb_bias,Unnamed: 7,Unnamed: 18,Ferstl_verb_eng,Ferstl_sem_cat,Ferstl_eng_verb_length,Ferstl_eng_verb_freq,Ferstl_val,Ferstl_IVC,verb_bias.1,new verb,old verb,german_verb_freq,german_verb_length,Unnamed: 30,Previous-Sentences (04/2026),adj,german_adj_freq,german_adj_length,Susanne_avgRating_Score,Susanne_avgRating_Score.1,20_Best_Verbs,adj_amb
228,original,1,1,regte … auf,NP1-Causality,David,regte,"Linda auf,",weil ,er,am frühen Morgen,unüberhörbar war,und,Störungen,verursachte,"David regte Linda auf, weil er am frühen Morgen unüberhörbar war und Störungen verursachte.",ok_prefix_keep_particle_or_punctuation,David,Sabine,Frank,Linda,NP1,,,agitated,StimExp,8,25,-1.36,85,NP1,regte … auf,aufregte,0.11,8,,"Der Schüler regte die Lehrerin auf, weil er am frühen Morgen unüberhörbar war und Störung erzeugte.",unüberhörbar,0.94,12,68.75,68.75,optimal,nonamb
228,both_male,2,1,regte … auf,NP1-Causality,David,regte,"Frank auf,",weil ,er,am frühen Morgen,unüberhörbar war,und,Störungen,verursachte,"David regte Frank auf, weil er am frühen Morgen unüberhörbar war und Störungen verursachte.",ok_prefix_keep_particle_or_punctuation,David,Sabine,Frank,Linda,NP1,,,agitated,StimExp,8,25,-1.36,85,NP1,regte … auf,aufregte,0.11,8,,"Der Schüler regte die Lehrerin auf, weil er am frühen Morgen unüberhörbar war und Störung erzeugte.",unüberhörbar,0.94,12,68.75,68.75,optimal,nonamb
228,both_female,3,1,regte … auf,NP1-Causality,Sabine,regte,"Linda auf,",weil ,sie,am frühen Morgen,unüberhörbar war,und,Störungen,verursachte,"Sabine regte Linda auf, weil sie am frühen Morgen unüberhörbar war und Störungen verursachte.",ok_prefix_keep_particle_or_punctuation,David,Sabine,Frank,Linda,NP1,,,agitated,StimExp,8,25,-1.36,85,NP1,regte … auf,aufregte,0.11,8,,"Der Schüler regte die Lehrerin auf, weil er am frühen Morgen unüberhörbar war und Störung erzeugte.",unüberhörbar,0.94,12,68.75,68.75,optimal,nonamb
228,swapped,4,1,regte … auf,NP1-Causality,Sabine,regte,"Frank auf,",weil ,sie,am frühen Morgen,unüberhörbar war,und,Störungen,verursachte,"Sabine regte Frank auf, weil sie am frühen Morgen unüberhörbar war und Störungen verursachte.",ok_prefix_keep_particle_or_punctuation,David,Sabine,Frank,Linda,NP1,,,agitated,StimExp,8,25,-1.36,85,NP1,regte … auf,aufregte,0.11,8,,"Der Schüler regte die Lehrerin auf, weil er am frühen Morgen unüberhörbar war und Störung erzeugte.",unüberhörbar,0.94,12,68.75,68.75,optimal,nonamb
229,original,5,1,regte … auf,NP2-Causality,David,regte,"Linda auf,",weil ,sie,am frühen Morgen,müde war,und,die Geduld,fehlte,"David regte Linda auf, weil sie am frühen Morgen müde war und die Geduld fehlte.",ok_prefix_keep_particle_or_punctuation,David,Sabine,Frank,Linda,NP1,,,agitated,StimExp,8,25,-1.36,85,NP1,regte … auf,aufregte,0.11,8,,"Der Schüler regte die Lehrerin auf, weil sie am frühen Morgen müde war und die Geduld fehlte.",gereizt,3.14,7,68.75,68.75,optimal,nonamb
229,both_male,6,1,regte … auf,NP2-Causality,David,regte,"Frank auf,",weil ,er,am frühen Morgen,müde war,und,die Geduld,fehlte,"David regte Frank auf, weil er am frühen Morgen müde war und die Geduld fehlte.",ok_prefix_keep_particle_or_punctuation,David,Sabine,Frank,Linda,NP1,,,agitated,StimExp,8,25,-1.36,85,NP1,regte … auf,aufregte,0.11,8,,"Der Schüler regte die Lehrerin auf, weil sie am frühen Morgen müde war und die Geduld fehlte.",gereizt,3.14,7,68.75,68.75,optimal,nonamb
229,both_female,7,1,regte … auf,NP2-Causality,Sabine,regte,"Linda auf,",weil ,sie,am frühen Morgen,müde war,und,die Geduld,fehlte,"Sabine regte Linda auf, weil sie am frühen Morgen müde war und die Geduld fehlte.",ok_prefix_keep_particle_or_punctuation,David,Sabine,Frank,Linda,NP1,,,agitated,StimExp,8,25,-1.36,85,NP1,regte … auf,aufregte,0.11,8,,"Der Schüler regte die Lehrerin auf, weil sie am frühen Morgen müde war und die Geduld fehlte.",gereizt,3.14,7,68.75,68.75,optimal,nonamb
229,swapped,8,1,regte … auf,NP2-Causality,Sabine,regte,"Frank auf,",weil ,er,am frühen Morgen,müde war,und,die Geduld,fehlte,"Sabine regte Frank auf, weil er am frühen Morgen müde war und die Geduld fehlte.",ok_prefix_keep_particle_or_punctuation,David,Sabine,Frank,Linda,NP1,,,agitated,StimExp,8,25,-1.36,85,NP1,regte … auf,aufregte,0.11,8,,"Der Schüler regte die Lehrerin auf, weil sie am frühen Morgen müde war und die Geduld fehlte.",gereizt,3.14,7,68.75,68.75,optimal,nonamb
206,original,1,2,störte,NP1-Causality,Peter,störte,"Katharina,",weil,er,am späten Nachmittag,aggressiv war,und ,Knurren,von sich gab,"Peter störte Katharina, weil er am späten Nachmittag aggressiv war und Knurren von sich gab.",ok_prefix_keep_particle_or_punctuation,Peter,Eva,Sebastian,Katharina,NP1,,,annoyed,StimExp,7,268,-2,79,NP1,störte,störte,2.33,6,,"Der Bär störte die Löwin, weil er am späten Nachmittag aggressiv war und das Knurren ausstieß.",aggressiv,19.09,9,87.5,87.5,optimal,nonamb
206,both_male,2,2,störte,NP1-Causality,Peter,störte,"Sebastian,",weil,er,am späten Nachmittag,aggressiv war,und ,Knurren,von sich gab,"Peter störte Sebastian, weil er am späten Nachmittag aggressiv war und Knurren von sich gab.",ok_prefix_keep_particle_or_punctuation,Peter,Eva,Sebastian,Katharina,NP1,,,annoyed,StimExp,7,268,-2,79,NP1,störte,störte,2.33,6,,"Der Bär störte die Löwin, weil er am späten Nachmittag aggressiv war und das Knurren ausstieß.",aggressiv,19.09,9,87.5,87.5,optimal,nonamb
